date,gross_reserves_usd_m,source,fx_reserves_usd_m,imf_position_usd_m,sdrs_usd_m,gold_usd_m,import_cover_months,mom_change_usd_m
2005-01-01,2249.0,Interpolated from World Bank annual,,,,,1.4993333333333334,
2005-02-01,2293.0,Interpolated from World Bank annual,,,,,1.5286666666666666,44.0
2005-03-01,2337.0,Interpolated from World Bank annual,,,,,1.558,44.0
2005-04-01,2382.0,Interpolated from World Bank annual,,,,,1.588,45.0
2005-05-01,2426.0,Interpolated from World Bank annual,,,,,1.6173333333333333,44.0
2005-06-01,2470.0,Interpolated from World Bank annual,,,,,1.6466666666666667,44.0
2005-07-01,2514.0,Interpolated from World Bank annual,,,,,1.676,44.0
2005-08-01,2558.0,Interpolated from World Bank annual,,,,,1.7053333333333334,44.0
2005-09-01,2602.0,Interpolated from World Bank annual,,,,,1.7346666666666666,44.0
2005-10-01,2647.0,Interpolated from World Bank annual,,,,,1.7646666666666666,45.0
2005-11-01,2691.0,Interpolated from World Bank annual,,,,,1.794,44.0
2005-12-01,2735.0,Interpolated from World Bank annual,,,,,1.8233333333333333,44.0
2006-01-01,2743.0,Interpolated from World Bank annual,,,,,1.8286666666666667,8.0
2006-02-01,2751.0,Interpolated from World Bank annual,,,,,1.834,8.0
2006-03-01,2759.0,Interpolated from World Bank annual,,,,,1.8393333333333333,8.0
2006-04-01,2767.0,Interpolated from World Bank annual,,,,,1.8446666666666667,8.0
2006-05-01,2775.0,Interpolated from World Bank annual,,,,,1.85,8.0
2006-06-01,2784.0,Interpolated from World Bank annual,,,,,1.856,9.0
2006-07-01,2792.0,Interpolated from World Bank annual,,,,,1.8613333333333333,8.0
2006-08-01,2800.0,Interpolated from World Bank annual,,,,,1.8666666666666667,8.0
2006-09-01,2808.0,Interpolated from World Bank annual,,,,,1.872,8.0
2006-10-01,2816.0,Interpolated from World Bank annual,,,,,1.8773333333333333,8.0
2006-11-01,2824.0,Interpolated from World Bank annual,,,,,1.8826666666666667,8.0
2006-12-01,2832.0,Interpolated from World Bank annual,,,,,1.888,8.0
2007-01-01,2889.0,Interpolated from World Bank annual,,,,,1.926,57.0
2007-02-01,2946.0,Interpolated from World Bank annual,,,,,1.964,57.0
2007-03-01,3004.0,Interpolated from World Bank annual,,,,,2.002666666666667,58.0
2007-04-01,3061.0,Interpolated from World Bank annual,,,,,2.0406666666666666,57.0
2007-05-01,3118.0,Interpolated from World Bank annual,,,,,2.078666666666667,57.0
2007-06-01,3175.0,Interpolated from World Bank annual,,,,,2.1166666666666667,57.0
2007-07-01,3232.0,Interpolated from World Bank annual,,,,,2.1546666666666665,57.0
2007-08-01,3290.0,Interpolated from World Bank annual,,,,,2.1933333333333334,58.0
2007-09-01,3347.0,Interpolated from World Bank annual,,,,,2.231333333333333,57.0
2007-10-01,3404.0,Interpolated from World Bank annual,,,,,2.2693333333333334,57.0
2007-11-01,3461.0,Interpolated from World Bank annual,,,,,2.3073333333333332,57.0
2007-12-01,3518.0,Interpolated from World Bank annual,,,,,2.3453333333333335,57.0
2008-01-01,3443.0,Interpolated from World Bank annual,,,,,2.2953333333333332,-75.0
