varset,scenario,end_level_usd_m,delta_vs_baseline_usd_m,delta_vs_baseline_pct
bop,Export Shock (-15%),6557.243837611106,167.14590892593606,2.615701837300764
bop,Combined Upside,6458.08538667322,67.98745798804975,1.063950173327608
bop,Tourism Recovery (+25%),6446.86666678265,56.76873809748031,0.8883860424524209
bop,IMF Tranche Delay,6403.332482552899,13.234553867729119,0.20711034502803416
bop,Baseline,6390.09792868517,0.0,0.0
bop,LKR Depreciation 10%,6390.09792868517,0.0,0.0
bop,LKR Depreciation 20%,6390.09792868517,0.0,0.0
bop,Oil Price Shock,6350.394267081984,-39.70366160318554,-0.621331035084074
bop,Combined Adverse,6248.491657032912,-141.60627165225742,-2.2160266279580223
bop,Remittance Decline (-20%),6148.560889499248,-241.53703918592146,-3.7798644384096356
full,Combined Upside,6973.337751556475,262.815906160994,3.916474936168025
full,Export Shock (-15%),6841.390562870673,130.86871747519217,1.9502017948870785
full,Baseline,6710.521845395481,0.0,0.0
full,Tourism Recovery (+25%),6710.521845395481,0.0,0.0
full,IMF Tranche Delay,6553.093940915895,-157.4279044795867,-2.3459860217519157
full,Oil Price Shock,6533.240780065617,-177.28106532986385,-2.6418372432765085
full,LKR Depreciation 10%,6448.163239091352,-262.35860630412935,-3.9096602670945835
full,Remittance Decline (-20%),6345.8283793828605,-364.6934660126208,-5.4346513492517765
full,LKR Depreciation 20%,6185.804632787222,-524.7172126082596,-7.819320534189181
full,Combined Adverse,6041.714985863485,-668.8068595319965,-9.96654023249932
monetary,Combined Upside,6554.338646538163,85.6981262160507,1.3248243730165312
monetary,Baseline,6468.640520322112,0.0,0.0
monetary,Export Shock (-15%),6468.640520322112,0.0,0.0
monetary,Remittance Decline (-20%),6468.640520322112,0.0,0.0
monetary,Tourism Recovery (+25%),6468.640520322112,0.0,0.0
monetary,Oil Price Shock,6468.640520322112,0.0,0.0
monetary,IMF Tranche Delay,6331.523518376432,-137.11700194568039,-2.1197189968264385
monetary,LKR Depreciation 10%,6297.244267890012,-171.39625243209957,-2.6496487460330345
monetary,Combined Adverse,6211.546141673961,-257.0943786481512,-3.9744731190495792
monetary,LKR Depreciation 20%,6125.848015457911,-342.79250486420096,-5.2992974920660965
parsimonious,Combined Upside,6837.684869377294,81.98436094509907,1.2135582511801624
parsimonious,Baseline,6755.7005084321945,0.0,0.0
parsimonious,Remittance Decline (-20%),6755.7005084321945,0.0,0.0
parsimonious,Tourism Recovery (+25%),6755.7005084321945,0.0,0.0
parsimonious,Oil Price Shock,6724.856158305975,-30.84435012621907,-0.4565677547090844
parsimonious,Export Shock (-15%),6718.68728828073,-37.01322015146434,-0.5478813056509227
parsimonious,IMF Tranche Delay,6624.525530920036,-131.17497751215888,-1.941693201888265
parsimonious,LKR Depreciation 10%,6591.731786541996,-163.96872189019814,-2.4271165023603247
parsimonious,Combined Adverse,6509.747425596897,-245.9530828352972,-3.640674753540487
parsimonious,LKR Depreciation 20%,6427.763064651797,-327.9374437803972,-4.854233004720662
